"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"25873",54,"entrepreneur","married","university.degree","no","yes","no","cellular","nov","wed",2,4,1,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"25997",35,"management","married","university.degree","no","yes","yes","telephone","nov","wed",3,0,2,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"26105",39,"blue-collar","married","basic.6y","no","yes","yes","telephone","nov","wed",2,6,1,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"26167",34,"management","single","high.school","no","yes","yes","cellular","nov","wed",2,6,1,"success",-0.1,93.2,-42,4.12,5195.8,"0"
"26195",31,"admin.","married","university.degree","no","yes","no","cellular","nov","thu",2,5,1,"success",-0.1,93.2,-42,4.076,5195.8,"0"
"26198",42,"admin.","married","university.degree","no","yes","no","cellular","nov","thu",2,4,1,"success",-0.1,93.2,-42,4.076,5195.8,"0"
"26369",35,"admin.","married","university.degree","no","yes","no","cellular","nov","thu",2,3,1,"success",-0.1,93.2,-42,4.076,5195.8,"0"
"26749",35,"admin.","single","university.degree","no","yes","no","cellular","nov","thu",8,6,1,"success",-0.1,93.2,-42,4.076,5195.8,"0"
"26973",36,"management","married","university.degree","no","no","no","cellular","nov","thu",2,6,1,"success",-0.1,93.2,-42,4.076,5195.8,"0"
"27051",49,"management","married","university.degree","no","yes","no","cellular","nov","fri",1,3,1,"success",-0.1,93.2,-42,4.021,5195.8,"0"
"27374",52,"admin.","married","high.school","no","yes","yes","cellular","nov","fri",5,6,1,"success",-0.1,93.2,-42,4.021,5195.8,"0"
"27468",46,"unemployed","divorced","basic.4y","no","no","no","cellular","nov","fri",3,3,1,"success",-0.1,93.2,-42,4.021,5195.8,"0"
"27479",41,"technician","married","professional.course","no","yes","no","cellular","nov","fri",5,5,1,"success",-0.1,93.2,-42,4.021,5195.8,"0"
"27659",50,"admin.","divorced","university.degree","no","yes","no","cellular","nov","fri",3,1,2,"success",-0.1,93.2,-42,4.021,5195.8,"0"
"27765",38,"technician","married","professional.course","no","yes","no","cellular","mar","fri",2,10,1,"success",-1.8,92.843,-50,1.726,5099.1,"1"
"27769",38,"technician","married","professional.course","no","yes","no","cellular","mar","fri",2,7,1,"success",-1.8,92.843,-50,1.726,5099.1,"1"
"27833",30,"student","single","high.school","no","no","no","cellular","mar","fri",5,10,2,"failure",-1.8,92.843,-50,1.64,5099.1,"1"
"27992",29,"admin.","single","university.degree","no","yes","no","cellular","apr","wed",1,5,2,"success",-1.8,93.075,-47.1,1.498,5099.1,"0"
"28022",26,"services","single","high.school","no","no","no","cellular","apr","thu",1,1,3,"success",-1.8,93.075,-47.1,1.483,5099.1,"0"
"28102",34,"blue-collar","single","basic.9y","no","no","no","cellular","apr","fri",1,1,1,"success",-1.8,93.075,-47.1,1.479,5099.1,"0"
"28123",41,"unemployed","married","basic.9y","no","no","yes","cellular","apr","mon",1,9,1,"success",-1.8,93.075,-47.1,1.466,5099.1,"0"
"28219",28,"student","single","university.degree","no","yes","no","cellular","apr","tue",3,11,2,"failure",-1.8,93.075,-47.1,1.453,5099.1,"0"
"28299",37,"blue-collar","married","basic.4y","no","yes","no","cellular","apr","wed",1,5,1,"success",-1.8,93.075,-47.1,1.445,5099.1,"0"
"28623",39,"technician","single","professional.course","no","no","no","cellular","apr","wed",3,9,1,"success",-1.8,93.075,-47.1,1.415,5099.1,"0"
"28677",32,"blue-collar","married","basic.9y","no","no","no","cellular","apr","thu",1,5,1,"success",-1.8,93.075,-47.1,1.41,5099.1,"1"
"28791",29,"admin.","single","high.school","no","yes","yes","cellular","apr","thu",3,9,1,"success",-1.8,93.075,-47.1,1.41,5099.1,"0"
"28831",33,"blue-collar","married","basic.9y","no","no","no","cellular","apr","thu",1,5,1,"success",-1.8,93.075,-47.1,1.41,5099.1,"0"
"29156",55,"retired","married","high.school","no","no","no","cellular","apr","fri",1,8,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"0"
"29279",37,"services","married","high.school","no","no","no","cellular","apr","fri",2,1,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"0"
"29307",35,"admin.","single","high.school","no","no","no","cellular","apr","fri",2,5,2,"success",-1.8,93.075,-47.1,1.405,5099.1,"0"
"29349",38,"technician","divorced","high.school","no","no","no","telephone","apr","fri",3,6,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"1"
"29499",73,"retired","married","basic.4y","no","yes","no","cellular","apr","mon",1,6,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"0"
"29504",56,"retired","divorced","university.degree","no","yes","no","cellular","apr","mon",5,9,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"0"
"29511",43,"admin.","single","university.degree","no","yes","no","cellular","apr","mon",4,11,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"1"
"29606",32,"technician","single","professional.course","no","no","no","cellular","apr","mon",1,6,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"0"
"29648",45,"blue-collar","married","basic.6y","no","no","no","cellular","apr","mon",1,1,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"0"
"30002",53,"admin.","married","university.degree","no","yes","no","cellular","apr","tue",2,6,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"1"
"30026",29,"admin.","single","high.school","no","no","yes","cellular","apr","wed",1,6,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"1"
"30137",58,"retired","married","basic.4y","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30139",60,"retired","divorced","professional.course","no","yes","no","cellular","apr","thu",1,5,2,"failure",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30140",31,"technician","single","university.degree","no","yes","no","cellular","apr","thu",1,5,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30150",53,"admin.","single","university.degree","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30154",35,"services","married","high.school","no","yes","no","cellular","apr","thu",1,5,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30160",51,"services","married","basic.6y","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30162",60,"admin.","married","high.school","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30163",48,"entrepreneur","married","university.degree","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30176",53,"management","divorced","university.degree","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30185",31,"admin.","single","high.school","no","no","no","cellular","apr","thu",1,5,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30189",45,"admin.","single","high.school","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30191",30,"management","married","university.degree","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30195",48,"entrepreneur","married","university.degree","no","no","no","cellular","apr","thu",2,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30208",36,"technician","single","professional.course","no","yes","no","cellular","apr","thu",1,2,2,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30228",71,"self-employed","married","university.degree","no","yes","no","cellular","apr","thu",2,5,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30231",35,"technician","married","professional.course","no","no","no","cellular","apr","thu",2,5,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30236",51,"technician","married","professional.course","no","yes","yes","cellular","apr","thu",1,2,2,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30239",51,"technician","married","professional.course","no","yes","no","cellular","apr","thu",1,0,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30244",36,"technician","married","professional.course","no","yes","yes","cellular","apr","thu",2,2,2,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30248",39,"technician","married","professional.course","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30266",56,"entrepreneur","married","university.degree","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30275",28,"blue-collar","single","basic.9y","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30284",56,"entrepreneur","married","university.degree","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30301",28,"admin.","single","university.degree","no","yes","yes","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30308",37,"admin.","married","high.school","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30312",48,"unemployed","single","basic.9y","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30315",36,"admin.","married","university.degree","no","yes","no","cellular","apr","thu",1,0,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30319",29,"technician","single","professional.course","no","no","no","cellular","apr","thu",2,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30332",54,"management","married","university.degree","no","no","no","telephone","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30333",40,"technician","married","professional.course","no","yes","no","cellular","apr","thu",2,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30337",28,"admin.","married","university.degree","no","no","no","cellular","apr","thu",1,2,2,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30341",58,"retired","divorced","university.degree","no","no","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30345",47,"admin.","married","university.degree","no","yes","yes","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30396",34,"technician","married","university.degree","no","yes","no","cellular","apr","thu",2,8,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30409",60,"unemployed","married","high.school","no","yes","no","cellular","apr","thu",2,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30414",64,"admin.","married","university.degree","no","no","yes","telephone","apr","thu",3,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30418",30,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",1,0,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"1"
"30424",57,"retired","married","university.degree","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"0"
"30435",35,"blue-collar","single","basic.9y","no","yes","no","cellular","may","mon",2,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30439",46,"technician","married","high.school","no","no","no","cellular","may","mon",5,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30449",35,"services","married","basic.6y","no","no","no","cellular","may","mon",2,3,2,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30464",30,"unemployed","married","high.school","no","no","no","cellular","may","mon",1,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30465",39,"admin.","married","high.school","no","yes","no","cellular","may","mon",3,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30468",65,"management","married","university.degree","no","no","no","telephone","may","mon",3,6,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30473",50,"blue-collar","married","basic.6y","no","yes","no","cellular","may","mon",3,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30474",35,"services","married","basic.6y","no","no","no","cellular","may","mon",1,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30487",66,"management","married","university.degree","no","no","no","cellular","may","mon",4,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30502",30,"unemployed","married","high.school","no","yes","no","cellular","may","mon",3,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30524",35,"admin.","married","professional.course","no","yes","no","cellular","may","mon",2,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30536",39,"technician","married","professional.course","no","yes","no","cellular","may","mon",3,11,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30545",42,"admin.","married","professional.course","no","yes","no","cellular","may","mon",3,9,2,"failure",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30564",39,"blue-collar","single","basic.9y","no","yes","yes","cellular","may","mon",3,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30581",32,"self-employed","married","basic.6y","no","yes","no","cellular","may","mon",3,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30596",50,"blue-collar","married","basic.6y","no","yes","no","telephone","may","mon",4,3,2,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30610",42,"services","married","high.school","no","yes","no","cellular","may","mon",2,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30613",43,"admin.","married","high.school","no","yes","no","cellular","may","mon",4,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30627",51,"unemployed","married","high.school","no","no","no","cellular","may","mon",5,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30629",44,"self-employed","single","professional.course","no","no","no","cellular","may","mon",6,12,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"0"
"30639",50,"self-employed","married","basic.9y","no","yes","yes","cellular","may","mon",6,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30645",60,"admin.","married","university.degree","no","yes","no","cellular","may","mon",2,11,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"1"
"30680",42,"blue-collar","married","basic.9y","no","no","no","cellular","may","tue",5,10,1,"success",-1.8,92.893,-46.2,1.344,5099.1,"0"
"30745",34,"blue-collar","married","high.school","no","yes","no","cellular","may","tue",1,3,2,"success",-1.8,92.893,-46.2,1.344,5099.1,"1"
"30899",40,"blue-collar","married","basic.6y","no","no","no","cellular","may","tue",1,11,1,"success",-1.8,92.893,-46.2,1.344,5099.1,"0"
"30916",39,"blue-collar","married","basic.9y","no","yes","no","cellular","may","tue",1,12,1,"success",-1.8,92.893,-46.2,1.344,5099.1,"0"
"31031",49,"admin.","married","high.school","no","no","no","cellular","may","tue",1,6,1,"success",-1.8,92.893,-46.2,1.344,5099.1,"0"
"31073",34,"admin.","single","high.school","no","yes","no","cellular","may","wed",1,11,1,"success",-1.8,92.893,-46.2,1.334,5099.1,"1"
"31080",33,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",1,11,1,"success",-1.8,92.893,-46.2,1.334,5099.1,"0"
"31089",36,"technician","married","professional.course","no","yes","no","cellular","may","wed",1,10,1,"success",-1.8,92.893,-46.2,1.334,5099.1,"1"
"31177",48,"blue-collar","married","basic.4y","no","no","no","cellular","may","wed",1,12,1,"success",-1.8,92.893,-46.2,1.334,5099.1,"0"
"31241",34,"admin.","single","high.school","no","yes","no","cellular","may","wed",1,12,1,"success",-1.8,92.893,-46.2,1.334,5099.1,"0"
"31252",32,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",1,10,1,"success",-1.8,92.893,-46.2,1.334,5099.1,"0"
"31341",54,"management","divorced","university.degree","no","yes","no","cellular","may","wed",2,12,1,"success",-1.8,92.893,-46.2,1.334,5099.1,"0"
"31591",30,"blue-collar","single","basic.9y","no","yes","no","cellular","may","thu",1,10,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"1"
"31606",29,"admin.","married","high.school","no","no","no","cellular","may","thu",1,6,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"0"
"31666",28,"technician","single","high.school","no","yes","yes","cellular","may","thu",1,11,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"1"
"31670",57,"retired","married","basic.6y","no","yes","no","cellular","may","thu",1,6,2,"success",-1.8,92.893,-46.2,1.327,5099.1,"0"
"31829",39,"management","married","professional.course","no","yes","no","cellular","may","thu",1,6,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"0"
"31847",37,"services","married","high.school","no","yes","no","cellular","may","thu",2,12,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"0"
"31850",48,"blue-collar","married","basic.4y","no","no","yes","cellular","may","thu",2,1,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"0"
"31871",32,"admin.","married","university.degree","no","no","no","cellular","may","thu",1,6,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"1"
"31923",40,"admin.","married","basic.9y","no","yes","yes","cellular","may","thu",2,10,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"0"
"31954",32,"admin.","single","professional.course","no","yes","no","cellular","may","thu",2,7,2,"failure",-1.8,92.893,-46.2,1.327,5099.1,"0"
"32262",35,"blue-collar","married","basic.9y","no","no","no","cellular","may","fri",2,11,1,"success",-1.8,92.893,-46.2,1.313,5099.1,"0"
"32288",28,"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",1,11,1,"success",-1.8,92.893,-46.2,1.313,5099.1,"0"
"32318",35,"admin.","single","university.degree","no","yes","no","cellular","may","fri",1,12,1,"success",-1.8,92.893,-46.2,1.313,5099.1,"1"
"32543",47,"blue-collar","married","high.school","no","yes","yes","telephone","may","fri",6,6,1,"success",-1.8,92.893,-46.2,1.313,5099.1,"0"
"32638",37,"entrepreneur","married","basic.9y","no","no","no","cellular","may","mon",1,9,1,"success",-1.8,92.893,-46.2,1.299,5099.1,"0"
"32670",36,"blue-collar","divorced","basic.9y","no","yes","no","cellular","may","mon",1,12,1,"success",-1.8,92.893,-46.2,1.299,5099.1,"0"
"32691",27,"admin.","single","university.degree","no","no","no","cellular","may","mon",1,1,1,"success",-1.8,92.893,-46.2,1.299,5099.1,"0"
"32721",50,"blue-collar","married","basic.4y","no","no","no","cellular","may","mon",1,9,1,"success",-1.8,92.893,-46.2,1.299,5099.1,"1"
"32729",27,"technician","single","basic.9y","no","no","yes","cellular","may","mon",1,12,1,"success",-1.8,92.893,-46.2,1.299,5099.1,"1"
"32892",30,"services","divorced","high.school","no","no","no","cellular","may","mon",2,11,1,"success",-1.8,92.893,-46.2,1.299,5099.1,"0"
"33039",25,"technician","single","university.degree","no","no","yes","cellular","may","mon",3,12,2,"failure",-1.8,92.893,-46.2,1.299,5099.1,"0"
"33178",27,"blue-collar","married","basic.9y","no","yes","no","cellular","may","tue",1,11,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"0"
"33190",46,"entrepreneur","married","high.school","no","no","no","cellular","may","tue",1,6,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"0"
"33251",28,"technician","married","basic.9y","no","no","no","cellular","may","tue",1,12,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"0"
"33333",39,"technician","married","high.school","no","yes","no","cellular","may","tue",4,3,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"0"
"33383",48,"blue-collar","married","basic.9y","no","no","no","cellular","may","tue",1,10,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"1"
"33387",28,"admin.","single","basic.9y","no","no","yes","cellular","may","tue",1,10,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"1"
"33391",26,"blue-collar","married","basic.4y","no","yes","no","cellular","may","tue",2,6,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"0"
"33432",25,"technician","married","university.degree","no","yes","no","cellular","may","tue",1,12,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"0"
"33470",35,"admin.","single","basic.9y","no","yes","no","cellular","may","tue",3,9,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"0"
"33508",32,"services","married","high.school","no","no","no","cellular","may","tue",4,1,2,"success",-1.8,92.893,-46.2,1.291,5099.1,"1"
"33549",38,"services","divorced","basic.6y","no","yes","no","telephone","may","tue",2,10,1,"success",-1.8,92.893,-46.2,1.291,5099.1,"1"
"33732",34,"blue-collar","single","high.school","no","yes","no","cellular","may","wed",1,10,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"33758",34,"management","married","university.degree","no","no","yes","telephone","may","wed",5,6,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"33790",24,"admin.","married","basic.9y","no","yes","no","cellular","may","wed",1,10,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"1"
"33824",41,"entrepreneur","married","university.degree","no","yes","no","cellular","may","wed",1,12,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"33848",38,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",1,11,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"33963",29,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",1,6,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"33989",29,"technician","single","high.school","no","no","no","cellular","may","wed",4,12,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"34054",51,"self-employed","married","basic.9y","no","no","no","telephone","may","wed",2,12,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"34089",31,"admin.","married","university.degree","no","yes","no","cellular","may","wed",2,10,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"1"
"34122",28,"technician","single","professional.course","no","yes","no","cellular","may","wed",2,6,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"0"
"34276",43,"blue-collar","married","basic.4y","no","no","yes","cellular","may","thu",2,11,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"1"
"34312",23,"admin.","single","high.school","no","yes","no","cellular","may","thu",1,6,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"0"
"34428",23,"admin.","single","high.school","no","yes","no","cellular","may","thu",1,10,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"0"
"34463",35,"blue-collar","married","basic.6y","no","yes","no","cellular","may","thu",1,12,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"0"
"34499",33,"admin.","single","high.school","no","no","no","cellular","may","thu",1,12,2,"failure",-1.8,92.893,-46.2,1.266,5099.1,"1"
"34589",27,"technician","single","professional.course","no","no","no","cellular","may","thu",1,11,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"0"
"34649",31,"technician","single","basic.9y","no","yes","no","cellular","may","thu",1,11,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"1"
"34731",54,"blue-collar","married","basic.9y","no","no","no","cellular","may","thu",2,6,2,"success",-1.8,92.893,-46.2,1.266,5099.1,"1"
"34743",47,"blue-collar","divorced","basic.9y","no","no","no","cellular","may","thu",8,6,2,"failure",-1.8,92.893,-46.2,1.266,5099.1,"0"
"34770",46,"blue-collar","married","basic.4y","no","no","no","cellular","may","thu",2,12,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"0"
"35174",31,"unemployed","married","basic.9y","no","yes","no","cellular","may","fri",3,10,1,"success",-1.8,92.893,-46.2,1.25,5099.1,"0"
"35219",29,"blue-collar","single","basic.9y","no","yes","no","cellular","may","fri",2,12,1,"success",-1.8,92.893,-46.2,1.25,5099.1,"0"
"35229",58,"management","married","university.degree","no","yes","no","cellular","may","fri",2,12,1,"success",-1.8,92.893,-46.2,1.25,5099.1,"0"
"35347",49,"blue-collar","married","basic.9y","no","no","no","cellular","may","fri",2,9,2,"failure",-1.8,92.893,-46.2,1.25,5099.1,"0"
"35457",57,"admin.","single","high.school","no","yes","no","telephone","may","mon",5,12,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"0"
"35496",47,"management","married","high.school","no","no","no","cellular","may","mon",1,9,2,"failure",-1.8,92.893,-46.2,1.244,5099.1,"0"
"35598",43,"technician","married","professional.course","no","no","yes","cellular","may","mon",2,12,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"0"
"35621",41,"admin.","single","high.school","no","no","no","cellular","may","mon",7,2,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"0"
"35655",41,"unemployed","married","professional.course","no","no","no","cellular","may","mon",4,10,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"0"
"35735",34,"blue-collar","married","basic.9y","no","yes","no","cellular","may","mon",2,11,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"0"
"35814",37,"management","divorced","university.degree","no","yes","no","cellular","may","mon",3,9,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"1"
"35823",25,"unemployed","married","university.degree","no","no","no","cellular","may","mon",8,10,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"0"
"35835",45,"admin.","single","university.degree","no","no","no","cellular","may","fri",1,3,1,"success",-1.8,92.893,-46.2,1.259,5099.1,"1"
"35852",27,"admin.","single","university.degree","no","no","no","cellular","may","fri",1,3,1,"success",-1.8,92.893,-46.2,1.259,5099.1,"0"
"35857",83,"retired","married","basic.9y","no","yes","yes","cellular","may","fri",1,3,3,"failure",-1.8,92.893,-46.2,1.259,5099.1,"0"
"35873",18,"student","single","high.school","no","yes","no","cellular","may","fri",1,1,2,"success",-1.8,92.893,-46.2,1.259,5099.1,"0"
"35881",43,"technician","married","high.school","no","no","no","cellular","may","fri",1,3,1,"success",-1.8,92.893,-46.2,1.259,5099.1,"1"
"35884",28,"technician","single","professional.course","no","no","no","cellular","may","fri",1,3,1,"success",-1.8,92.893,-46.2,1.259,5099.1,"1"
"35941",34,"admin.","married","university.degree","no","yes","no","cellular","may","mon",1,2,1,"success",-1.8,92.893,-46.2,1.264,5099.1,"0"
